지역,소구분,상호,주소,반려동물용 메뉴 및 서비스 시설,반려동물용 메뉴 및 서비스 시설 내용,반려동물 동행시 이용 가능 공간(실내_실외),입장 가능 반려동물 제한사항,이용료,기타 특이사항,이용시간,휴무,주차
연수구,카페,피카 에스프레소 바,연수구 하모니로 158 D동 102호,x,,,없음,,,화-금 09:00~20:00 주말 11:00~20:00,매주 월요일,가능
연수구,카페,잉글리쉬로즈 송도,"연수구 센트럴로 232 더샵센트럴파크1차 상가 E동 175, 176호",x,,,,"라떼 5,000원","플라워 카페, 음료 및 디저트, 꽃다발 판매",평일 09:30~22:00 주말 10:00~22:00,연중무휴,가능
연수구,카페,도그의 하루,연수구 컨벤시아대로 81 드림시티 3층 314호,o,"애견용품 판매, 드라이룸 구비","실내, 전체",없음,입장료 포함 1인 1음료 원칙,반려견 없이도 입장 가능,화-금 12:00~21:30     주말  12:00~21:00,매주 월요일,가능
연수구,카페,멍멍으르렁컹컹,연수구 새말로 82,,,,,,,,,
서구,공원,드림파크,서구 거월로 61,,천연잔디,,,,"5, 10월 축제기간 중 이용 가능",,,불가능
서구,카페(브런치카페),그린도그 청라,서구 청라에메랄드로 79 커낼에비뉴 지하 1층 A26,o,"낮은 쇼파, 미끄럼 방지, 수제간식",실내 전체,없음,반려견 입장료 무료,"공간 협소, 슬개골 인테리어",11:00~22:00,,무료
서구,카페,누닝펫푸드카페,서구 청라커낼로 270,O,"애견용 수제간식, 배변패드, 매너벨트, 물그릇","실내, 전체",20kg 이하,"퍼푸라떼 3,500원 황태포 7,500원   아이스아메리카노 3,500원","애견 메뉴 외 영양제, 장난감 등 판매 / 공간 협소",12:00~20:00,"매주 월, 화요일",2시간 가능
서구,"카페, 호텔&유치원",똑똑개세요,서구 염곡로498번안길 28 청담프라자 5층,,,,"15kg 이하, 노키즈존(14세 이하, 반려견 동반시 입장 가능)",,카페는 주말 및 공휴일만 운영,"유치원&놀이방 07:30~19:00 카페 14:00~19:00(주말, 공휴일)",,
서구,"카페, 호텔&유치원",마이달링독,서구 청라에메랄드로102번길 8-18 청라캐널큐브 8층,O,"야외운동장, 인조잔디",전체,12kg 미만,,실내수영장 6월~9월 개장,13:00~21:00,월요일 휴무,
서구,"카페, 스쿨, 호텔&유치원",스퀘어독스,서구 담지로8번길 13,O,"야외운동장, 인조잔디, 미용, 훈련",전체,없음,,"애견 훈련, 유치원, 호텔링, 미용",화-금 16:00~21:00 토-일 12:00~21:00,매주 월요일,가능
서구,"카페, 호텔&유치원",어스독 인천,서구 원적로 141-8,,"훈련, 미용, 배변봉투, 배변패드, 물그릇",전체,,"바비큐 25,000원",애견동반 바비큐,12:00~21:00,연중무휴,가능
서구,카페,오미네커피 청라스퀘어7,서구 청라루비로 76 B125호,,,,"13kg 이하, 매너벨트 필수",,금/토/일/공휴일 13세 이하 어린이는 11시~오후3시까지만 이용 가능,11:00~22:00,월요일 휴무,
서구,카페,칸지독,서구 중봉대로586번길 9-19,O,,,,"입장료 8,000원(음료 포함)",,13:00~21:00,목요일 휴무,가능
계양구,반려견운동장,계양꽃마루 반려견 놀이터,계양구 봉오대로 855,,"야외 운동장, 천연잔디, 어질리티",,,,광견병 백신 접종 및 동물등록증 지참 후 이용 가능,동절기 10:00~20:00 하절기 10:00~21:00,매주 월요일,무료
계양구,애견놀이터,다남숲멍빌리지,계양구 역골로43번길 7-4,o,"배변패드, 매너벨트, 물그릇, 배변봉투",전체,없음,"입장료 1견 5,000원, 1인 7,000원(음료 1잔 포함)","회원 가입 시 혜택(1년 회원가 50만원): 주말농장 6평 1년간 임대, 애견놀이터 무료이용(시간제한 없음), 카페음료이용(2인), 가족 방갈로 무료이용(예약필수)",동절기 11:00~18:00 하절기 11:00~20:00,월요일 휴무,가능
계양구,식당,개떼놀이터 인천점,계양구 다남로 278,o,"물그릇, 배변봉투, 포토존, 이중문, 요람, 야외운동장, 인조잔디, 애견간식, 수영장",전체,20kg 이하,식당 이용 고객 반려견 무료,"셀프목욕 가능(샴푸, 수건 없음)",11:00~22:00(평일 브레이크 타임 16:00~17:00),매주 수요일,가능
계양구,카페,카페65도씨 인천계양점,계양구 도두리로 14 맘모스타운 1층,x,,실외 테라스,문의요망,,사전 전화 문의 및 예약 필수,월-목 10:00~15:00 금-일 10:00~17:00,연중무휴,가능
계양구,애견호텔&유치원,위드티쳐 ,계양구 성안길 2,o,"포토존, 애견간식, 애견용품, 셀프목욕, 야외 운동장, 천연잔디, 간이 수영장",전체,16kg 이하,"입장료 1견 7,000원",훈련사 상주,11:00~20:00,연중무휴,가능
계양구,스튜디오,스튜디오 팝콘,계양구 도두리로 33 상산빌딩 3층,,포토존,실외 부분,20kg 이하,,100% 예약제 운영,10:00~19:00,,무료
옹진군,펜션,글램독 애견펜션 영흥도점,옹진군 영흥면 영흥남로9번길 123,,"펫드라이룸, 저상형가구, 애견용품 구비",전체,,,,,,
옹진군,펜션,라르고펜션,옹진군 영흥면 영흥로757번길 178,O,"배변봉투, 식기, 운동장, 수영장, 장난감",전체,"맹견, 대형견 상담 필수","비수기 주중 120,000원부터. 반려견 5kg 이하 20,000원, 10kg 이하 30,000원, 15kg 이상 50,000원","글램핑 스타일 펜션, 펜스 설치로 독립적인 분위","입실 15:00, 퇴실 11:00",연중무휴,가능
옹진군,펜션,로마스파펜션,옹진군 영흥면 선재로306번길 27-87,X,,,,,,,,가능
옹진군,펜션,리틀미코노스,옹진군 영흥면 선재로 76-10,,전용객실,실내,"7kg 이하, 사전 문의 필수",,"애견 동반 가능 객실 있음, 애견 수영장 운영하는 펜션 있음, 애견 수영장 운영하는 카페 있음",,,가능
옹진군,펜션,모모카라반,옹진군 영흥면 영흥로757번길 176,O,"배변봉투, 식기, 운동장, 수영장, 장난감",전체,10kg 이하 입실,"비수기 주중 150,000원부터. 2인 기준, 1인 추가시 20,000원, 1견 추가 20,000원, 2마리 입실 가능.",,"입실 15:00, 퇴실 11:00",연중무휴,가능
옹진군,펜션,스테이독애견펜션,옹진군 영흥면 선재로 264,,"운동장 2개, 셀프목욕, 배변패드, 식기, 수건",전체,15kg 이하 입실,,,,,가능
옹진군,펜션,선재도 아리랑힐 호텔&리조트,옹진군 영흥면 선재로 318-38,X,애견놀이터,,,,,,,가능
옹진군,펜션,올라펜션,옹진군 영흥면 선재로 76-10,,실내수영장,,,,,"15:00 입실, 11:00 퇴실",연중무휴,가능
옹진군,펜션,측도펜션,옹진군 영흥면 선재로95번길 273,,,,,,,,,
옹진군,펜션,종이학 펜션,옹진군 영흥면 선재로186번길 78,o,"배변패드, 물그릇, 포토존, 천연잔디, 어질리티, 애견용품, 수영장, 셀프목욕",전체,대형견 상담 필수,"1마리 당 10,000원","수영장 이용 시 수영복 착용 필수, 객실 당 2마리까지 가능, 반려견 전용 수건 및 보호줄 지참 필수",입실 15:00~퇴실 11:00,연중무휴,무료
옹진군,펜션,러블리펫108펜션,옹진군 영흥면 선재로 76-27,o,"배변패드, 매너벨트, 물그릇, 배변봉투, 포토존, 야외 운동장, 어질리티, 애견간식, 애견용품, 수영장, 구명조끼, 셀프목욕, 드라이룸, 스파용품",전체,10kg 이하,,"반려견 1마리 무료, 마리 추가시 한 마리당 2만원, 3마리까지 가능, 실내외 수영장에 구명조끼 및 애견 래시가드 구비 물놀이 시 애견수영복 착용 필수, 실내 온수수영장은 사계절 연중무휴 온수로 유지, 외부튜브 반입 금지",입실 15:00~퇴실 11:00,,무료
옹진군,펜션,리틀미코노스,옹진군 영흥면 선재로 76-10,,,,7kg 이하,,"애견동반 시 사전 문의 필수, 애견 입실 가능 객실 4개, 1마리 무료 이상 문의",,,가능
옹진군,카페,뻘다방,옹진군 영흥면 선재로 55,x,,,30kg 이하,,,10:00~20:30(브레이크 타임 14:30~15:00),매주 화요일,가능
옹진군,카페,선재리 커피집,용진군 영흥면 선재로34번길 79,x,,실내-안거나 이동장 이용 / 실외 및 온실 리드줄 착용 필수,문의요망,,"매장이용 인원 최대 4인, 실내 공간 이용 시 안거나 이동장 이용 필수",수-금 12:00~19:00 토-일 11:00~19:00  (주문 마감 18:30),"매주 월, 화요일",유료 공영주차장
옹진군,카페,개이득 애견수영장카페,옹진군 영흥면 선재로 76-10 리틀미코노스 303동,O,"사계절 실내 수영장, 드라이룸, 셀프 목욕, 놀이터",전체,문의요망,"입장료 3,000원중형견 수영장(6~12kg) 25,000원소형견 수영장(1~5kg이하)23,000원","실내수영장 갖춘 애견카페, 펜션도 있음, 밖에 작은 놀이터 있음",11:00~19:00,"화, 수요일 휴무",가능
